feature,importance,importance_abs,rank
grade_avg_12,0.09831406019706815,0.09831406019706815,1
G1,0.09478374402108523,0.09478374402108523,2
G2,0.09351291908324338,0.09351291908324338,3
parent_edu_avg,0.0616494920384041,0.0616494920384041,4
studytime,0.04442471994328457,0.04442471994328457,5
age,0.04107942602934992,0.04107942602934992,6
Medu,0.03656880020673601,0.03656880020673601,7
support_index,0.0335933813967275,0.0335933813967275,8
grade_momentum,0.02909373079538232,0.02909373079538232,9
risk_behavior_index,0.02679166787460793,0.02679166787460793,10
Fedu,0.02506448054196501,0.02506448054196501,11
Mjob,0.024946552281572176,0.024946552281572176,12
social_index,0.023388135615411858,0.023388135615411858,13
reason,0.02278510562180753,0.02278510562180753,14
failure_flag,0.022580721985185518,0.022580721985185518,15
failures,0.022474419231630766,0.022474419231630766,16
school,0.022342995349965995,0.022342995349965995,17
paid,0.0207148367727202,0.0207148367727202,18
absences,0.017291212899222405,0.017291212899222405,19
goout,0.01669983459096268,0.01669983459096268,20
guardian,0.016149276844526064,0.016149276844526064,21
freetime,0.015741843269009823,0.015741843269009823,22
traveltime,0.01439070484688259,0.01439070484688259,23
alc_index,0.014017321085073144,0.014017321085073144,24
Fjob,0.013235546262374866,0.013235546262374866,25
Walc,0.012147471420236576,0.012147471420236576,26
health,0.012073881431191459,0.012073881431191459,27
sex,0.011960878568434547,0.011960878568434547,28
grade_trend_12,0.01137603756051196,0.01137603756051196,29
address,0.010970755326890246,0.010970755326890246,30
romantic,0.009542881001410134,0.009542881001410134,31
schoolsup,0.008931677871675835,0.008931677871675835,32
famrel,0.0089210715784588,0.0089210715784588,33
famsize,0.008838580874255205,0.008838580874255205,34
parent_edu_gap,0.008456156832892687,0.008456156832892687,35
Dalc,0.008422796263628192,0.008422796263628192,36
internet,0.007707320595652835,0.007707320595652835,37
famsup,0.0067463731567888,0.0067463731567888,38
activities,0.0064909121550539945,0.0064909121550539945,39
Pstatus,0.004402076706523568,0.004402076706523568,40
nursery,0.004221336732743619,0.004221336732743619,41
high_absence_flag,0.003703181093902517,0.003703181093902517,42
high_failure_flag,0.0034516820455491653,0.0034516820455491653,43
